C,N,CHBR,REP,LFBM,STBM,RTBM,LFNCC,STNCC,RTNCC,LFBCC,STBCC,RTBCC,LFCACC,STCACC,RTCACC,LFKCC,STKCC,RTKCC,LFMGCC,STMGCC,RTMGCC,LFPCC,STPCC,RTPCC,LFSCC,STSCC,RTSCC
2,2,B7,20,1.21,0.27,0.28,2.07,0.96,0.81,36,25,26,0.31,0.18,0.19,1.18,1.33,0.49,0.14,0.15,0.07,0.3,0.32,0.14,0.25,0.22,0.13
2,3,A2,1,1.18,0.48,0.55,1.73,0.75,0.71,40,20,20,0.26,0.16,0.13,0.98,1.11,0.59,0.12,0.14,0.08,0.28,0.31,0.18,0.12,0.15,0.15
1,1,CL6,1,0.43,0.13,0.29,1.84,0.4,0.96,39,18,41,0.26,0.16,0.16,0.88,1.19,0.62,0.11,0.13,0.06,0.23,0.31,0.17,0.13,0.17,0.14
1,1,CL7,1,0.4,0.15,0.25,1.82,0.37,0.95,36,26,35,0.28,0.2,0.17,0.93,1.34,0.49,0.1,0.18,0.06,0.22,0.22,0.13,0.22,0.28,0.13
1,2,A1,9,0.45,0.2,0.21,1.54,0.96,0.69,34,19,22,0.29,0.16,0.17,0.9,1.28,0.64,0.12,0.16,0.08,0.3,0.35,0.21,0.15,0.19,0.15
2,3,A6,20,0.77,0.27,0.34,1.35,0.89,0.83,37,18,26,0.28,0.15,0.16,0.99,0.91,0.4,0.13,0.11,0.07,0.25,0.21,0.14,0.19,0.16,0.12
2,3,B5,9,1.02,0.47,1.51,1.53,0.92,0.58,48,18,20,0.28,0.17,0.17,0.81,0.93,0.56,0.11,0.11,0.07,0.28,0.28,0.16,0.15,0.16,0.17
2,3,B5,14,0.13,0.03,0.15,1.8,0.92,0.58,48,18,20,0.28,0.17,0.17,0.81,0.93,0.56,0.11,0.11,0.07,0.28,0.28,0.16,0.15,0.16,0.17
1,2,A1,14,0.82,0.26,0.29,1.75,0.97,0.83,34,19,22,0.29,0.16,0.17,0.9,1.28,0.64,0.12,0.16,0.08,0.3,0.35,0.21,0.15,0.19,0.15
3,1,B2,20,0.76,0.37,0.47,1.8,0.63,0.51,34,20,18,0.24,0.19,0.16,0.75,1.21,0.59,0.1,0.18,0.07,0.2,0.3,0.18,0.16,0.2,0.17
3,1,D2,20,0.77,0.32,0.46,1.62,0.71,0.76,35,16,21,0.27,0.14,0.15,0.85,1.06,0.45,0.1,0.12,0.06,0.21,0.24,0.14,0.14,0.17,0.11
3,3,C2,9,1.48,0.6,0.54,1.58,0.78,0.62,30,14,18,0.34,0.16,0.16,0.99,0.94,0.4,0.12,0.1,0.07,0.19,0.15,0.1,0.16,0.14,0.12
4,1,C4,20,0.87,0.25,0.35,1.69,0.67,0.59,38,20,20,0.26,0.17,0.16,0.81,1.2,0.51,0.07,0.11,0.06,0.17,0.22,0.13,0.13,0.18,0.14
4,2,C5,1,0.55,0.22,0.33,1.06,0.62,0.58,26,17,21,0.27,0.19,0.2,0.75,0.99,0.37,0.1,0.13,0.07,0.23,0.25,0.12,0.11,0.16,0.11
2,1,A4,14,0.21,0.07,0.22,1.26,0.66,0.77,41,17,16,0.3,0.18,0.18,0.88,0.93,0.38,0.12,0.15,0.08,0.24,0.32,0.17,0.22,0.2,0.13
2,1,A4,20,0.27,0.13,0.24,1.88,1.28,1.19,41,17,16,0.3,0.18,0.18,0.88,0.93,0.38,0.12,0.15,0.08,0.24,0.32,0.17,0.22,0.2,0.13
4,2,D3,20,0.965,0.3,0.645,1.31,0.45,1.55,25,16,20,0.21,0.17,0.11,0.85,0.98,0.33,0.07,0.11,0.04,0.18,0.21,0.1,0.17,0.19,0.09
4,2,D7,1,0.84,0.35,0.55,1.46,0.76,0.94,42,19,22,0.24,0.16,0.15,0.85,1.17,0.51,0.1,0.11,0.06,0.22,0.24,0.13,0.1,0.16,0.13
2,1,B3,9,0.31,0.14,0.21,2.76,0.64,0.84,41,18,24,0.33,0.18,0.22,1.15,1.04,0.49,0.13,0.12,0.07,0.27,0.25,0.16,0.26,0.21,0.15
2,1,B3,14,0.65,0.18,0.3,1.49,0.64,0.78,41,18,24,0.33,0.18,0.22,1.15,1.04,0.49,0.13,0.12,0.07,0.27,0.25,0.16,0.26,0.21,0.15
2,1,B3,20,0.18,0.1,0.12,1.38,0.64,0.91,41,18,24,0.33,0.18,0.22,1.15,1.04,0.49,0.13,0.12,0.07,0.27,0.25,0.16,0.26,0.21,0.15
2,1,B6,9,0.52,0.18,0.38,1.3,0.79,0.78,41,22,20,0.29,0.24,0.17,0.93,1.52,0.52,0.1,0.17,0.06,0.27,0.41,0.16,0.12,0.2,0.12
2,1,B6,14,0.3,0.14,0.24,1.69,0.79,0.78,41,22,20,0.29,0.24,0.17,0.93,1.52,0.52,0.1,0.17,0.06,0.27,0.41,0.16,0.12,0.2,0.12
2,1,B6,20,0.58,0.19,0.31,2.12,0.79,0.78,41,22,20,0.29,0.24,0.17,0.93,1.52,0.52,0.1,0.17,0.06,0.27,0.41,0.16,0.12,0.2,0.12
2,2,B4,9,0.58,0.2,0.78,1.39,0.98,0.6,47,15,19,0.36,0.17,0.17,0.9,0.93,0.45,0.13,0.14,0.07,0.27,0.29,0.16,0.18,0.17,0.13
2,2,B4,14,0.58,0.2,0.78,1.32,0.98,0.6,47,15,19,0.36,0.17,0.17,0.9,0.93,0.45,0.13,0.14,0.07,0.27,0.29,0.16,0.18,0.17,0.13
2,2,B4,20,0.41,0.1,0.52,2.02,0.98,0.6,47,15,19,0.36,0.17,0.17,0.9,0.93,0.45,0.13,0.14,0.07,0.27,0.29,0.16,0.18,0.17,0.13
2,2,B7,9,0.48,0.16,0.29,1.68,0.96,0.81,36,25,26,0.31,0.18,0.19,1.18,1.33,0.49,0.14,0.15,0.07,0.3,0.32,0.14,0.25,0.22,0.13
2,2,B7,14,1.76,0.53,0.35,1.91,0.96,0.81,36,25,26,0.31,0.18,0.19,1.18,1.33,0.49,0.14,0.15,0.07,0.3,0.32,0.14,0.25,0.22,0.13
2,3,A6,9,0.83,0.3,0.45,1.23,0.86,0.74,37,18,26,0.28,0.15,0.16,0.99,0.91,0.4,0.13,0.11,0.07,0.25,0.21,0.14,0.19,0.16,0.12
2,3,A6,14,1.22,0.55,0.5,1.61,0.94,0.47,37,18,26,0.28,0.15,0.16,0.99,0.91,0.4,0.13,0.11,0.07,0.25,0.21,0.14,0.19,0.16,0.12
2,3,B5,20,0.68,0.27,0.95,2.09,0.92,0.58,48,18,20,0.28,0.17,0.17,0.81,0.93,0.56,0.11,0.11,0.07,0.28,0.28,0.16,0.15,0.16,0.17
3,1,B2,9,0.7,0.24,0.38,1.14,0.63,0.51,34,20,18,0.24,0.19,0.16,0.75,1.21,0.59,0.1,0.18,0.07,0.2,0.3,0.18,0.16,0.2,0.17
3,1,B2,14,0.82,0.33,0.67,1.56,0.63,0.51,34,20,18,0.24,0.19,0.16,0.75,1.21,0.59,0.1,0.18,0.07,0.2,0.3,0.18,0.16,0.2,0.17
3,3,C2,14,0.74,0.2,0.5,1.43,0.78,0.75,30,14,18,0.34,0.16,0.16,0.99,0.94,0.4,0.12,0.1,0.07,0.19,0.15,0.1,0.16,0.14,0.12
3,3,C2,20,1.24,0.5,0.72,1.67,0.78,0.75,30,14,18,0.34,0.16,0.16,0.99,0.94,0.4,0.12,0.1,0.07,0.19,0.15,0.1,0.16,0.14,0.12
4,1,C4,9,0.75,0.4,0.52,1.09,0.67,0.66,38,20,20,0.26,0.17,0.16,0.81,1.2,0.51,0.07,0.11,0.06,0.17,0.22,0.13,0.13,0.18,0.14
4,1,C4,14,0.39,0.16,0.27,1.38,0.67,0.62,38,20,20,0.26,0.17,0.16,0.81,1.2,0.51,0.07,0.11,0.06,0.17,0.22,0.13,0.13,0.18,0.14
4,2,D3,9,0.67,0.22,0.56,1.15,0.45,0.47,25,16,20,0.21,0.17,0.11,0.85,0.98,0.33,0.07,0.11,0.04,0.18,0.21,0.1,0.17,0.19,0.09
4,2,D3,14,1.26,0.38,0.73,0.88,0.45,0.63,25,16,20,0.21,0.17,0.11,0.85,0.98,0.33,0.07,0.11,0.04,0.18,0.21,0.1,0.17,0.19,0.09
1,2,A1,20,0.52,0.19,0.25,2.01,1.29,0.8,34,19,22,0.29,0.16,0.17,0.9,1.28,0.64,0.12,0.16,0.08,0.3,0.35,0.21,0.15,0.19,0.15
2,1,A4,9,0.48,0.2,0.28,1.58,0.89,0.98,41,17,16,0.3,0.18,0.18,0.88,0.93,0.38,0.12,0.15,0.08,0.24,0.32,0.17,0.22,0.2,0.13